id,title,authors,abstract,year,category,venue,citations
35,Secure and Scalable Routing Protocols for Vehicular Ad-hoc Networks (VANET),"J. Rexford, D. Clark",High mobility and intermittent links make routing in vehicular networks challenging. We present a geographic routing protocol for VANETs that uses road traffic density predictions and cryptographic message signatures to ensure packet delivery and prevent spoofing attacks.,2020,Networks & IoT,SIGCOMM,384
2,Deep Residual Learning for Image Recognition,"A. Ng, Y. LeCun","Deeper neural networks are more difficult to train. We present a residual learning framework to ease the training of networks that are substantially deeper than those previously used. We explicitly reformulate the layers as learning residual functions with reference to the layer inputs, instead of learning unreferenced functions.",2026,AI/ML,CVPR,125
114,Evaluating Haptic User Experience for Accessibility Control,"P. Baudisch, S. Klemmer","Recent advancements in user experience have enabled significant breakthroughs in user experience and accessibility. However, existing solutions suffer from high overhead and poor scalability when applied to accessibility. To overcome these limitations, we introduce SmartSense, a lightweight approach. We demonstrate its effectiveness across multiple domains, illustrating its suitability for production environments.",2019,HCI,DIS,287
60,Detecting Ransomware Anomalies in Zero Trust,"E. Shi, M. Naor, S. Goldwasser","This work presents a comprehensive study of ransomware and zero trust in the context of zero trust. We evaluate different architectures and identify key bottlenecks associated with ransomware. Based on these findings, we design an adaptive protocol, MetaScale, which dynamically tunes parameters to reduce latency. Our evaluation shows robust performance under highly dynamic workloads.",2022,Cybersecurity,CCS,267
83,Raft Consensus Architectures: A Survey of Mapreduce Systems,"J. Hellerstein, A. Halevy, M. Stonebraker","How can we scale Raft consensus and MapReduce to meet the demands of modern workloads? We argue that standard methods focusing on Raft consensus are insufficient due to physical constraints. We propose VeloNet, which distributes computation using MapReduce. Through mathematical proof and extensive simulation, we show that our architecture guarantees fault-tolerance and scales linearly.",2019,Data Engineering,VLDB,244
142,Performance Analysis of 6G Protocols in Sensor Networks Networks,"T. Anderson, H. Balakrishnan","We investigate the integration of 6G and sensor networks to solve 6G and sensor networks. While promising, this combination introduces security and reliability challenges. We present a formal model and a practical implementation, SecureChain, that addresses these issues through centralized coordination. Our prototypes show that our safety constraints are met with minimal impact on latency.",2019,Networks & IoT,ACM CoNEXT,272
89,Efficient Indexing of Data Lake in Distributed Partitioning,"J. Dean, M. Zaharia","In this paper, we address the challenge of data lake and partitioning. We propose a new system called DeepFlow that leverages data lake to improve efficiency and performance. Our framework optimizes partitioning in a novel way. Experimental results on real-world datasets show that our method outperforms standard baselines, achieving up to 31% improvement in speed and accuracy.",2018,Data Engineering,ICDE,210
143,An Adaptive Edge Computing Slicing Model for Cellular 6G,"D. Estrin, H. Balakrishnan","In this paper, we address the challenge of edge computing and 6G. We propose a new system called SmartNet that leverages edge computing to improve efficiency and performance. Our framework optimizes 6G in a novel way. Experimental results on real-world datasets show that our method outperforms standard baselines, achieving up to 50% improvement in speed and accuracy.",2022,Networks & IoT,IEEE IoT-J,278
121,Designing Augmented Reality Interfaces for Accessibility,"M. Bernstein, B. Shneiderman","We investigate the integration of augmented reality and accessibility to solve augmented reality and accessibility. While promising, this combination introduces security and reliability challenges. We present a formal model and a practical implementation, SmartGlove, that addresses these issues through centralized coordination. Our prototypes show that our safety constraints are met with minimal impact on latency.",2020,HCI,DIS,311
79,Mitigating Ransomware Vulnerabilities in Adversarial Attacks Environments,"B. Parno, M. Naor","This work presents a comprehensive study of ransomware and adversarial attacks in the context of adversarial attacks. We evaluate different architectures and identify key bottlenecks associated with ransomware. Based on these findings, we design an adaptive protocol, MetaGlove, which dynamically tunes parameters to reduce latency. Our evaluation shows robust performance under highly dynamic workloads.",2024,Cybersecurity,S&P (Oakland),273
45,An Efficient Approach to Explainable Ai with Deep Learning,"Y. Bengio, D. Silver","How can we scale explainable AI and deep learning to meet the demands of modern workloads? We argue that standard methods focusing on explainable AI are insufficient due to physical constraints. We propose FlexChain, which distributes computation using deep learning. Through mathematical proof and extensive simulation, we show that our architecture guarantees fault-tolerance and scales linearly.",2026,AI/ML,CVPR,322
71,Mitigating Federated Privacy Vulnerabilities in Blockchain Environments,"S. Goldwasser, B. Parno, V. Shmatikov","We investigate the integration of federated privacy and blockchain to solve federated privacy and blockchain. While promising, this combination introduces security and reliability challenges. We present a formal model and a practical implementation, HyperGlove, that addresses these issues through centralized coordination. Our prototypes show that our safety constraints are met with minimal impact on latency.",2020,Cybersecurity,USENIX Security,162
87,Evaluating Consensus in Mapreduce for Olap Pipelines,"H. Garcia-Molina, S. Ghemawat, M. Zaharia","In this paper, we address the challenge of MapReduce and OLAP. We propose a new system called MetaDB that leverages MapReduce to improve efficiency and performance. Our framework optimizes OLAP in a novel way. Experimental results on real-world datasets show that our method outperforms standard baselines, achieving up to 46% improvement in speed and accuracy.",2026,Data Engineering,ICDE,303
14,A Zero Trust Architecture for Secure Enterprise Networks,"L. Adleman, B. Parno","Traditional perimeter-based network security models are inadequate for modern enterprise environments. We present a Zero Trust architecture that eliminates implicit trust, requiring continuous authentication, authorization, and validation of all users and devices before granting access.",2022,Cybersecurity,USENIX Security,341
55,Exploring the Limits of Diffusion Models in Transformer,"F. Li, I. Sutskever, D. Silver","Recent advancements in diffusion models have enabled significant breakthroughs in diffusion models and transformer. However, existing solutions suffer from high overhead and poor scalability when applied to transformer. To overcome these limitations, we introduce FlexNet, a lightweight approach. We demonstrate its effectiveness across multiple domains, illustrating its suitability for production environments.",2021,AI/ML,CVPR,254
138,A Resource-efficient 5G Architecture for Edge Edge Computing,"H. Balakrishnan, I. Akyildiz","In this paper, we address the challenge of 5G and edge computing. We propose a new system called SecureGlove that leverages 5G to improve efficiency and performance. Our framework optimizes edge computing in a novel way. Experimental results on real-world datasets show that our method outperforms standard baselines, achieving up to 39% improvement in speed and accuracy.",2021,Networks & IoT,MobiCom,34
26,Augmented Reality Interfaces for Assistive Remote Collaboration,"S. Klemmer, P. Baudisch","Remote collaboration requires shared visual spatial context. We introduce a spatial augmented reality interface that projects hand gestures, drawing annotations, and 3D pointer icons onto a local workspace, significantly reducing cognitive load and task completion times.",2022,HCI,UIST,424
75,Mitigating Blockchain Vulnerabilities in Cryptography Environments,"B. Parno, L. Adleman","How can we scale blockchain and cryptography to meet the demands of modern workloads? We argue that standard methods focusing on blockchain are insufficient due to physical constraints. We propose SecureNet, which distributes computation using cryptography. Through mathematical proof and extensive simulation, we show that our architecture guarantees fault-tolerance and scales linearly.",2023,Cybersecurity,CCS,151
8,Denoising Diffusion Probabilistic Models for High-Fidelity Synthesis,"Y. LeCun, I. Sutskever","We present high quality image synthesis results using diffusion probabilistic models, a class of latent variable models inspired by considerations from non-equilibrium thermodynamics. Our models generate highly realistic images by learning to reverse a gradual denoising process.",2022,AI/ML,NeurIPS,426
120,Evaluating Haptic Virtual Reality for Eye Tracking Control,"S. Klemmer, B. Shneiderman, P. Baudisch","We investigate the integration of virtual reality and eye tracking to solve virtual reality and eye tracking. While promising, this combination introduces security and reliability challenges. We present a formal model and a practical implementation, ApexScale, that addresses these issues through centralized coordination. Our prototypes show that our safety constraints are met with minimal impact on latency.",2026,HCI,CSCW,275
63,Analyzing the Security of Federated Privacy in Malware Applications,"D. Song, L. Adleman","Recent advancements in federated privacy have enabled significant breakthroughs in federated privacy and malware. However, existing solutions suffer from high overhead and poor scalability when applied to malware. To overcome these limitations, we introduce DeepGlove, a lightweight approach. We demonstrate its effectiveness across multiple domains, illustrating its suitability for production environments.",2021,Cybersecurity,CCS,268
116,An Assistive Virtual Reality Tool for Collaborative Tools Accessibility,"J. Landay, S. Klemmer","In this paper, we address the challenge of virtual reality and collaborative tools. We propose a new system called SmartDB that leverages virtual reality to improve efficiency and performance. Our framework optimizes collaborative tools in a novel way. Experimental results on real-world datasets show that our method outperforms standard baselines, achieving up to 31% improvement in speed and accuracy.",2018,HCI,CSCW,346
86,Optimizing Queries in Graph Database Databases for Raft Consensus,"J. Dean, M. Zaharia, A. Halevy","Recent advancements in graph database have enabled significant breakthroughs in graph database and Raft consensus. However, existing solutions suffer from high overhead and poor scalability when applied to Raft consensus. To overcome these limitations, we introduce NeuroTrust, a lightweight approach. We demonstrate its effectiveness across multiple domains, illustrating its suitability for production environments.",2025,Data Engineering,VLDB,265
36,Evaluating LoRaWAN Coverage and Reliability in Urban Environments,"T. Anderson, M. Ammar","Low-Power Wide-Area Networks (LPWAN) are essential for long-range, battery-powered sensors. We conduct a field study evaluating LoRaWAN packet delivery ratios, signal-to-noise ratios, and battery lifetimes under varying urban dense path loss conditions.",2024,Networks & IoT,IEEE IoT-J,49
107,Co-designing User Experience with Users for Accessibility Applications,"B. Shneiderman, S. Klemmer, P. Baudisch","We investigate the integration of user experience and accessibility to solve user experience and accessibility. While promising, this combination introduces security and reliability challenges. We present a formal model and a practical implementation, VeloSense, that addresses these issues through centralized coordination. Our prototypes show that our safety constraints are met with minimal impact on latency.",2022,HCI,CSCW,72
111,Evaluating Haptic Wearables for Gesture Ui Control,"D. Norman, A. Dey, P. Baudisch","How can we scale wearables and gesture UI to meet the demands of modern workloads? We argue that standard methods focusing on wearables are insufficient due to physical constraints. We propose NeuroFlow, which distributes computation using gesture UI. Through mathematical proof and extensive simulation, we show that our architecture guarantees fault-tolerance and scales linearly.",2022,HCI,DIS,164
24,Real-time Stream Processing with Kafka and Distributed Ledger Technologies,"M. Zaharia, D. DeWitt","Modern data platforms require real-time processing of high-throughput event streams. We analyze the scalability of Apache Kafka and stream processing frameworks under various partitioning and replication policies, proposing a new dynamic load-balancing algorithm.",2021,Data Engineering,SIGMOD,307
139,An Adaptive Lorawan Slicing Model for Cellular Sensor Networks,"M. Ammar, D. Clark, D. Estrin","How can we scale loRaWAN and sensor networks to meet the demands of modern workloads? We argue that standard methods focusing on loRaWAN are insufficient due to physical constraints. We propose ApexScale, which distributes computation using sensor networks. Through mathematical proof and extensive simulation, we show that our architecture guarantees fault-tolerance and scales linearly.",2025,Networks & IoT,INFOCOM,137
127,Optimizing Network Slicing Routing in IoT-based 5G,"H. Balakrishnan, I. Akyildiz, D. Estrin","This work presents a comprehensive study of network slicing and 5G in the context of 5G. We evaluate different architectures and identify key bottlenecks associated with network slicing. Based on these findings, we design an adaptive protocol, SmartTrust, which dynamically tunes parameters to reduce latency. Our evaluation shows robust performance under highly dynamic workloads.",2023,Networks & IoT,INFOCOM,141
99,Scaling Nosql for Large-scale Partitioning,"A. Halevy, D. DeWitt, H. Garcia-Molina","Recent advancements in NoSQL have enabled significant breakthroughs in NoSQL and partitioning. However, existing solutions suffer from high overhead and poor scalability when applied to partitioning. To overcome these limitations, we introduce SecureGlove, a lightweight approach. We demonstrate its effectiveness across multiple domains, illustrating its suitability for production environments.",2024,Data Engineering,SIGMOD,337
65,Detecting Blockchain Anomalies in Smart Contracts,"S. Goldwasser, R. Anderson","How can we scale blockchain and smart contracts to meet the demands of modern workloads? We argue that standard methods focusing on blockchain are insufficient due to physical constraints. We propose VeloGlove, which distributes computation using smart contracts. Through mathematical proof and extensive simulation, we show that our architecture guarantees fault-tolerance and scales linearly.",2020,Cybersecurity,S&P (Oakland),134
95,Partitioning Architectures: A Survey of Stream Processing Systems,"M. Zaharia, D. DeWitt","This work presents a comprehensive study of partitioning and stream processing in the context of stream processing. We evaluate different architectures and identify key bottlenecks associated with partitioning. Based on these findings, we design an adaptive protocol, SecureGlove, which dynamically tunes parameters to reduce latency. Our evaluation shows robust performance under highly dynamic workloads.",2020,Data Engineering,SIGMOD,215
51,An Efficient Approach to Graph Neural Network with Explainable Ai,"Y. Bengio, A. Ng","This work presents a comprehensive study of graph neural network and explainable AI in the context of explainable AI. We evaluate different architectures and identify key bottlenecks associated with graph neural network. Based on these findings, we design an adaptive protocol, NeuroChain, which dynamically tunes parameters to reduce latency. Our evaluation shows robust performance under highly dynamic workloads.",2024,AI/ML,CVPR,200
40,An Efficient Approach to Zero-Shot Learning with Transformer,"J. Smith, D. Silver, I. Sutskever","In this paper, we address the challenge of zero-shot learning and transformer. We propose a new system called FlexScale that leverages zero-shot learning to improve efficiency and performance. Our framework optimizes transformer in a novel way. Experimental results on real-world datasets show that our method outperforms standard baselines, achieving up to 46% improvement in speed and accuracy.",2024,AI/ML,ACL,140
72,Enhancing Vulnerability Protocols Against Zero Trust Attacks,"R. Rivest, D. Song, A. Shamir","We investigate the integration of vulnerability and zero trust to solve vulnerability and zero trust. While promising, this combination introduces security and reliability challenges. We present a formal model and a practical implementation, ApexLink, that addresses these issues through centralized coordination. Our prototypes show that our safety constraints are met with minimal impact on latency.",2019,Cybersecurity,USENIX Security,272
141,Performance Analysis of Lorawan Protocols in Vehicular Network Networks,"M. Ammar, D. Clark","We investigate the integration of loRaWAN and vehicular network to solve loRaWAN and vehicular network. While promising, this combination introduces security and reliability challenges. We present a formal model and a practical implementation, FlexSense, that addresses these issues through centralized coordination. Our prototypes show that our safety constraints are met with minimal impact on latency.",2024,Networks & IoT,ACM CoNEXT,41
58,Detecting Side-Channel Anomalies in Cryptography,"B. Parno, L. Adleman, V. Shmatikov","We investigate the integration of side-channel and cryptography to solve side-channel and cryptography. While promising, this combination introduces security and reliability challenges. We present a formal model and a practical implementation, ParaChain, that addresses these issues through centralized coordination. Our prototypes show that our safety constraints are met with minimal impact on latency.",2026,Cybersecurity,S&P (Oakland),284
57,Exploring the Limits of Zero-Shot Learning in Fine-Tuning,"I. Sutskever, F. Li","In this paper, we address the challenge of zero-shot learning and fine-tuning. We propose a new system called DeepFlow that leverages zero-shot learning to improve efficiency and performance. Our framework optimizes fine-tuning in a novel way. Experimental results on real-world datasets show that our method outperforms standard baselines, achieving up to 22% improvement in speed and accuracy.",2022,AI/ML,CVPR,102
73,The Role of Adversarial Attacks in Decentralized Intrusion Detection,"M. Naor, D. Song, A. Shamir","How can we scale adversarial attacks and intrusion detection to meet the demands of modern workloads? We argue that standard methods focusing on adversarial attacks are insufficient due to physical constraints. We propose HyperTrust, which distributes computation using intrusion detection. Through mathematical proof and extensive simulation, we show that our architecture guarantees fault-tolerance and scales linearly.",2020,Cybersecurity,IEEE TIFS,307
91,Efficient Indexing of Vector Database in Distributed Partitioning,"J. Dean, D. DeWitt, S. Ghemawat","How can we scale vector database and partitioning to meet the demands of modern workloads? We argue that standard methods focusing on vector database are insufficient due to physical constraints. We propose NeuroDB, which distributes computation using partitioning. Through mathematical proof and extensive simulation, we show that our architecture guarantees fault-tolerance and scales linearly.",2022,Data Engineering,EDBT,22
147,Performance Analysis of Smart Home Protocols in Vehicular Network Networks,"D. Clark, D. Estrin","This work presents a comprehensive study of smart home and vehicular network in the context of vehicular network. We evaluate different architectures and identify key bottlenecks associated with smart home. Based on these findings, we design an adaptive protocol, HyperDB, which dynamically tunes parameters to reduce latency. Our evaluation shows robust performance under highly dynamic workloads.",2020,Networks & IoT,MobiCom,231
109,An Assistive Voice Assistant Tool for Eye Tracking Accessibility,"S. Klemmer, E. Horvitz","In this paper, we address the challenge of voice assistant and eye tracking. We propose a new system called ParaTrust that leverages voice assistant to improve efficiency and performance. Our framework optimizes eye tracking in a novel way. Experimental results on real-world datasets show that our method outperforms standard baselines, achieving up to 55% improvement in speed and accuracy.",2018,HCI,CSCW,158
118,An Assistive Augmented Reality Tool for Accessibility Accessibility,"A. Dey, J. Landay","Recent advancements in augmented reality have enabled significant breakthroughs in augmented reality and accessibility. However, existing solutions suffer from high overhead and poor scalability when applied to accessibility. To overcome these limitations, we introduce DeepGate, a lightweight approach. We demonstrate its effectiveness across multiple domains, illustrating its suitability for production environments.",2022,HCI,CSCW,98
94,Evaluating Consensus in Distributed Database for Indexing Pipelines,"S. Ghemawat, M. Stonebraker","How can we scale distributed database and indexing to meet the demands of modern workloads? We argue that standard methods focusing on distributed database are insufficient due to physical constraints. We propose SmartDB, which distributes computation using indexing. Through mathematical proof and extensive simulation, we show that our architecture guarantees fault-tolerance and scales linearly.",2022,Data Engineering,SIGMOD,349
88,Scaling Stream Processing for Large-scale Graph Database,"D. DeWitt, A. Halevy, J. Hellerstein","This work presents a comprehensive study of stream processing and graph database in the context of graph database. We evaluate different architectures and identify key bottlenecks associated with stream processing. Based on these findings, we design an adaptive protocol, SmartGlove, which dynamically tunes parameters to reduce latency. Our evaluation shows robust performance under highly dynamic workloads.",2020,Data Engineering,SIGMOD,188
93,Scaling Mapreduce for Large-scale Stream Processing,"M. Zaharia, A. Halevy","We investigate the integration of MapReduce and stream processing to solve MapReduce and stream processing. While promising, this combination introduces security and reliability challenges. We present a formal model and a practical implementation, HyperLink, that addresses these issues through centralized coordination. Our prototypes show that our safety constraints are met with minimal impact on latency.",2023,Data Engineering,ICDE,328
15,Meltdown and Spectre: Exploiting Out-of-Order Execution in Modern CPUs,"V. Shmatikov, A. Shamir","We describe Meltdown and Spectre, hardware vulnerabilities that exploit out-of-order execution and speculative execution in modern processors. These side-channel attacks allow unprivileged processes to read sensitive kernel memory and data from other processes.",2020,Cybersecurity,NDSS,25
132,Software-defined Network Slicing Solutions for Sdn,"D. Clark, I. Akyildiz, J. Rexford","In this paper, we address the challenge of network slicing and SDN. We propose a new system called SmartDB that leverages network slicing to improve efficiency and performance. Our framework optimizes SDN in a novel way. Experimental results on real-world datasets show that our method outperforms standard baselines, achieving up to 33% improvement in speed and accuracy.",2019,Networks & IoT,ACM CoNEXT,338
25,Graph Databases for Querying Highly Connected Social Networks,"M. Stonebraker, J. Dean","Relational databases struggle with deep join operations in highly connected social graphs. We evaluate graph database models, presenting an optimized index-free adjacency traversal method that speeds up recursive path queries and community detection algorithms.",2023,Data Engineering,EDBT,219
106,Co-designing Augmented Reality with Users for Collaborative Tools Applications,"B. Shneiderman, E. Horvitz, J. Landay","We investigate the integration of augmented reality and collaborative tools to solve augmented reality and collaborative tools. While promising, this combination introduces security and reliability challenges. We present a formal model and a practical implementation, HyperChain, that addresses these issues through centralized coordination. Our prototypes show that our safety constraints are met with minimal impact on latency.",2021,HCI,TOCHI,258
115,The Impact of Voice Assistant on User Experience in Wearables,"E. Horvitz, D. Norman","How can we scale voice assistant and wearables to meet the demands of modern workloads? We argue that standard methods focusing on voice assistant are insufficient due to physical constraints. We propose ApexFlow, which distributes computation using wearables. Through mathematical proof and extensive simulation, we show that our architecture guarantees fault-tolerance and scales linearly.",2026,HCI,CHI,149
97,A Highly Available Nosql System for Mapreduce,"S. Ghemawat, M. Stonebraker, J. Gray","We investigate the integration of NoSQL and MapReduce to solve NoSQL and MapReduce. While promising, this combination introduces security and reliability challenges. We present a formal model and a practical implementation, ApexNet, that addresses these issues through centralized coordination. Our prototypes show that our safety constraints are met with minimal impact on latency.",2019,Data Engineering,ICDE,155
50,Optimizing Diffusion Models Using Contrastive Learning Techniques,"A. Ng, A. Vaswani, I. Sutskever","We investigate the integration of diffusion models and contrastive learning to solve diffusion models and contrastive learning. While promising, this combination introduces security and reliability challenges. We present a formal model and a practical implementation, ApexScale, that addresses these issues through centralized coordination. Our prototypes show that our safety constraints are met with minimal impact on latency.",2018,AI/ML,NeurIPS,35
108,An Assistive Wearables Tool for Augmented Reality Accessibility,"J. Landay, P. Baudisch, A. Dey","This work presents a comprehensive study of wearables and augmented reality in the context of augmented reality. We evaluate different architectures and identify key bottlenecks associated with wearables. Based on these findings, we design an adaptive protocol, MetaChain, which dynamically tunes parameters to reduce latency. Our evaluation shows robust performance under highly dynamic workloads.",2025,HCI,CSCW,214
12,Zero-Knowledge Proofs for Privacy-Preserving Blockchain Transactions,"M. Naor, L. Adleman","We introduce a novel protocol for privacy-preserving transactions in decentralized blockchain databases using zero-knowledge succinct non-interactive arguments of knowledge (zk-SNARKs). Our system hides the transaction sender, recipient, and amounts while guaranteeing consistency.",2020,Cybersecurity,NDSS,360
122,Designing Collaborative Tools Interfaces for Accessibility,"P. Baudisch, D. Norman, B. Shneiderman","Recent advancements in collaborative tools have enabled significant breakthroughs in collaborative tools and accessibility. However, existing solutions suffer from high overhead and poor scalability when applied to accessibility. To overcome these limitations, we introduce VeloGate, a lightweight approach. We demonstrate its effectiveness across multiple domains, illustrating its suitability for production environments.",2025,HCI,UIST,191
131,Software-defined Routing Protocol Solutions for Sdn,"S. Shenker, T. Anderson, D. Estrin","How can we scale routing protocol and SDN to meet the demands of modern workloads? We argue that standard methods focusing on routing protocol are insufficient due to physical constraints. We propose SecureTrust, which distributes computation using SDN. Through mathematical proof and extensive simulation, we show that our architecture guarantees fault-tolerance and scales linearly.",2026,Networks & IoT,SIGCOMM,56
